# commands.dat
#
# Description of all mixal commands (from Donald Knuth)
#
#	C	OP	F	t	description
#
	00	NOP	0	1	nothing do
	01	ADD	5	2	rA <- rA + V
	02	SUB	5	2	rA <- rA - V
	03	MUL	5	10	rAX <- rA * V
	04	DIV	5	12	rA <- rAX / V, rX <- rAX % V
	05	NUM	0	10	rA <- NUM(rAX)
	05	CHAR	1	10	rAX <- CHAR(rA)
	05	HLT	2	10	halt program
	06	SLA	0	2	shift rA left for M bytes
	06	SRA	1	2	shift rA right for M bytes
	06	SLAX	2	2	shift rAX left for M bytes
	06	SRAX	3	2	shift rAX right for M bytes
	06	SLC	4	2	shift rAX left for M bytes cyclic
	06	SRC	5	2	shift rAX right for M bytes cyclic
	07	MOVE	1	1+2F	move F words from M to rI1
	08	LDA	5	2	rA <- V
	09	LD1	5	2	rI1 <- V
	10	LD2	5	2	rI2 <- V
	11	LD3	5	2	rI3 <- V
	12	LD4	5	2	rI4 <- V
	13	LD5	5	2	rI5 <- V
	14	LD6	5	2	rI6 <- V
	15	LDX	5	2	rX <- V
	16	LDAN	5	2	rA <- -V
	17	LD1N	5	2	rI1 <- -V
	18	LD2N	5	2	rI2 <- -V
	19	LD3N	5	2	rI3 <- -V
	20	LD4N	5	2	rI4 <- -V
	21	LD5N	5	2	rI5 <- -V
	22	LD6N	5	2	rI6 <- -V
	23	LDXN	5	2	rX <- -V
	24	STA	5	2	V <- rA
	25	ST1	5	2	V <- rI1
	26	ST2	5	2	V <- rI2
	27	ST3	5	2	V <- rI3
	28	ST4	5	2	V <- rI4
	29	ST5	5	2	V <- rI5
	30	ST6	5	2	V <- rI6
	31	STX	5	2	V <- rX
	32	STJ	5	2	V <- rJ
	33	STZ	5	2	V <- 0
	34	JBUS	0	1	jump if F-device is busy
	35	IOC	0	1+T	control F-device
	36	IN	0	1+T	in from F-device
	37	OUT	0	1+T	out to F-device
	38	JRED	0	1	jump if F-device is ready
	39	JMP	0	1	jump, rJ <- *+1
	39	JSJ	1	1	jump
	39	JOV	2	1	jump if overflow trigger
	39	JNOV	3	1	jump if not overflow trigger
	39	JL	4	1	jump if comparison trigger is LESS
	39	JE	5	1	jump if comparison trigger is EQUAL
	39	JG	6	1	jump if comparison trigger is GREATER
	39	JGE	7	1	jump if comparison trigger is not LESS
	39	JNE	8	1	jump if comparison trigger is not EQUAL
	39	JLE	9	1	jump if comparison trigger is not GREATER
	40	JAN	0	1	jump if rA is negative
	40	JAZ	1	1	jump if rA is zero
	40	JAP	2	1	jump if rA is positive
	40	JANN	3	1	jump if rA is not negative
	40	JANZ	4	1	jump if rA is not zero
	40	JANP	5	1	jump if rA is not positive
	41	J1N	0	1	jump if rI1 is negative
